Date,Year,Month,Day
2016-01-01,2016,01,01
2016-01-15,2016,01,15
2016-01-29,2016,01,29
2016-02-12,2016,02,12
2016-02-26,2016,02,26
2016-03-11,2016,03,11
2016-03-25,2016,03,25
2016-04-08,2016,04,08
2016-04-22,2016,04,22
2016-05-06,2016,05,06
2016-05-20,2016,05,20
2016-06-03,2016,06,03
2016-06-17,2016,06,17
2016-07-01,2016,07,01
2016-07-15,2016,07,15
2016-07-29,2016,07,29
2016-08-12,2016,08,12
2016-08-26,2016,08,26
2016-09-09,2016,09,09
2016-09-23,2016,09,23
2016-10-07,2016,10,07
2016-10-21,2016,10,21
2016-11-04,2016,11,04
2016-11-18,2016,11,18
2016-12-02,2016,12,02
2016-12-16,2016,12,16
2016-12-30,2016,12,30
2017-01-13,2017,01,13
2017-01-27,2017,01,27
2017-02-10,2017,02,10
2017-02-24,2017,02,24
2017-03-10,2017,03,10
2017-03-24,2017,03,24
2017-04-07,2017,04,07
2017-04-21,2017,04,21
2017-05-05,2017,05,05
2017-05-19,2017,05,19
2017-06-02,2017,06,02
2017-06-16,2017,06,16
2017-06-30,2017,06,30
2017-07-14,2017,07,14
2017-07-28,2017,07,28
2017-08-11,2017,08,11
2017-08-25,2017,08,25
2017-09-08,2017,09,08
2017-09-22,2017,09,22
2017-10-06,2017,10,06
2017-10-20,2017,10,20
2017-11-03,2017,11,03
2017-11-17,2017,11,17
2017-12-01,2017,12,01
2017-12-15,2017,12,15
2017-12-29,2017,12,29
2018-01-12,2018,01,12
2018-01-26,2018,01,26
2018-02-09,2018,02,09
2018-02-23,2018,02,23
2018-03-09,2018,03,09
2018-03-23,2018,03,23
2018-04-06,2018,04,06
2018-04-20,2018,04,20
2018-05-04,2018,05,04
2018-05-18,2018,05,18
2018-06-01,2018,06,01
2018-06-15,2018,06,15
2018-06-29,2018,06,29
2018-07-13,2018,07,13
2018-07-27,2018,07,27
2018-08-10,2018,08,10
2018-08-24,2018,08,24
2018-09-07,2018,09,07
2018-09-21,2018,09,21
2018-10-05,2018,10,05
2018-10-19,2018,10,19
2018-11-02,2018,11,02
2018-11-16,2018,11,16
2018-11-30,2018,11,30
2018-12-14,2018,12,14
2018-12-28,2018,12,28
2019-01-11,2019,01,11
2019-01-25,2019,01,25
2019-02-08,2019,02,08
2019-02-22,2019,02,22
2019-03-08,2019,03,08
2019-03-22,2019,03,22
2019-04-05,2019,04,05
2019-04-19,2019,04,19
2019-05-03,2019,05,03
2019-05-17,2019,05,17
2019-05-31,2019,05,31
2019-06-14,2019,06,14
2019-06-28,2019,06,28
2019-07-12,2019,07,12
2019-07-26,2019,07,26
2019-08-09,2019,08,09
2019-08-23,2019,08,23
2019-09-06,2019,09,06
2019-09-20,2019,09,20
2019-10-04,2019,10,04
2019-10-18,2019,10,18
2019-11-01,2019,11,01
2019-11-15,2019,11,15
2019-11-29,2019,11,29
2019-12-13,2019,12,13
2019-12-27,2019,12,27
2020-01-10,2020,01,10
2020-01-24,2020,01,24
2020-02-07,2020,02,07
2020-02-21,2020,02,21
2020-03-06,2020,03,06
2020-03-20,2020,03,20